ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130878,Age specific fertility rate: 15-19,153,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1989,DHS,,,,,
KEN,74107,Married women currently using any method of contraception,26.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1989,DHS,4765,4778,,,
KEN,814575,Infant mortality rate,61,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1989,DHS,,,52,69,
KEN,806038,Infant mortality rate,59,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1989,DHS,,,52,66,
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,348819,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,3559,3492,,,
KEN,760414,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,4237,4201,,,
KEN,814764,Antenatal care from a skilled provider,77.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1989,DHS,2701,2658,,,
KEN,388777,Assistance during delivery from a skilled provider,50.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1989,DHS,4388,4298,,,
KEN,435106,Assistance during delivery from a skilled provider,50.1,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1989,DHS,7127,6980,,,
KEN,813856,Assistance during delivery from a skilled provider,51.9,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1989,DHS,2875,2836,,,
KEN,130954,Age specific fertility rate: 15-19,110,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1993,DHS,,,,,
KEN,471445,Married women currently using any method of contraception,32.7,1,KE,Kenya,1993,KE1993DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1993,DHS,4629,4583,,,
KEN,516299,Unmet need for family planning,35.3,1,KE,Kenya,1993,KE1993DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1993,DHS,4629,4583,,,
KEN,812467,Infant mortality rate,62,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1993,DHS,,,53,70,
KEN,812054,Infant mortality rate,63,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1993,DHS,,,55,70,
KEN,772275,Under-five mortality rate,96,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993,DHS,,,86,107,
KEN,776829,Under-five mortality rate,93,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1993,DHS,,,84,102,
KEN,758581,Antenatal care from a skilled provider,94.6,1,KE,Kenya,1993,KE1993DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1993,DHS,3103,3080,,,
