ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130893,Total fertility rate 15-49,6.7,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1989,DHS,,,,,
KEN,74107,Married women currently using any method of contraception,26.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1989,DHS,4765,4778,,,
KEN,74108,Married women currently using any modern method of contraception,17.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1989,DHS,4765,4778,,,
KEN,62109,Median age at first marriage [Women]: 25-49,18.1,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1989,DHS,,,,,
KEN,814575,Infant mortality rate,61,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1989,DHS,,,52,69,
KEN,806038,Infant mortality rate,59,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1989,DHS,,,52,66,
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,359005,Fully vaccinated (8 basic antigens),44,1,KE,Kenya,1989,KE1989DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1989,DHS,1315,1302,,,
KEN,53278,Median duration of exclusive breastfeeding,0.6,1,KE,Kenya,1989,KE1989DHS,CN_BFDR_C_MDE,104336020,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDE,,1989,DHS,,,,,
KEN,130961,Total fertility rate 15-49,5.4,1,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1993,DHS,,,,,
KEN,471445,Married women currently using any method of contraception,32.7,1,KE,Kenya,1993,KE1993DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1993,DHS,4629,4583,,,
KEN,471446,Married women currently using any modern method of contraception,27.3,1,KE,Kenya,1993,KE1993DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1993,DHS,4629,4583,,,
