ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,130878,Age specific fertility rate: 15-19,153,0,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1989,DHS,,,,,
KEN,505140,Women giving birth by age 18,41.5,1,KE,Kenya,1989,KE1989DHS,FE_BBAG_W_A18,12063020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,FEBBAGWA18,,1989,DHS,4332,4267,,,
KEN,74107,Married women currently using any method of contraception,26.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1989,DHS,4765,4778,,,
KEN,507487,Current marital status [Women]: Married or living in union,66.6,1,KE,Kenya,1989,KE1989DHS,MA_MSTA_W_UNI,41503090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MAMSTAWUNI,,1989,DHS,7150,7150,,,
KEN,415195,Women first married by exact age 15,19.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1989,DHS,4332,4267,,,
KEN,415196,Women first married by exact age 18,48.7,1,KE,Kenya,1989,KE1989DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1989,DHS,4332,4267,,,
KEN,782066,Neonatal mortality rate,28,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1989,DHS,,,23,32,
KEN,771903,Neonatal mortality rate,25,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1989,DHS,,,21,29,
KEN,800445,Postneonatal mortality rate,33,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1989,DHS,,,26,40,
KEN,770114,Postneonatal mortality rate,34,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1989,DHS,,,29,39,
KEN,814575,Infant mortality rate,61,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1989,DHS,,,52,69,
KEN,806038,Infant mortality rate,59,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1989,DHS,,,52,66,
KEN,784973,Child mortality rate,31,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1989,DHS,,,24,38,
KEN,814374,Child mortality rate,34,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1989,DHS,,,27,42,
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,348819,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,3559,3492,,,
KEN,760414,Antenatal care from a skilled provider,78,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1989,DHS,4237,4201,,,
KEN,814764,Antenatal care from a skilled provider,77.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1989,DHS,2701,2658,,,
KEN,388777,Assistance during delivery from a skilled provider,50.6,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1989,DHS,4388,4298,,,
KEN,435106,Assistance during delivery from a skilled provider,50.1,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1989,DHS,7127,6980,,,
KEN,813856,Assistance during delivery from a skilled provider,51.9,1,KE,Kenya,1989,KE1989DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1989,DHS,2875,2836,,,
KEN,760422,Children ever breastfed,97.8,1,KE,Kenya,1989,KE1989DHS,CN_BRFI_C_EVR,104266010,I,1000,0,Total,Total,0,,1,1,CNBRFICEVR,,1989,DHS,2701,2658,,,
KEN,516014,Children exclusively breastfed,23,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1989,DHS,672,671,,,
KEN,516008,Children breastfeeding and consuming plain water only,17.1,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_WAT,104306030,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCWAT,,1989,DHS,672,671,,,
KEN,516010,Children breastfeeding and consuming non-milk liquids,5.6,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_LIQ,104306040,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCLIQ,,1989,DHS,672,671,,,
KEN,516011,Children breastfeeding and consuming complementary foods,23.7,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_CMP,104306060,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCCMP,,1989,DHS,672,671,,,
KEN,516013,Children currently breastfeeding,98.3,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1989,DHS,672,671,,,
KEN,676913,Children using a bottle with a nipple,23.1,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BNP,104306110,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBNP,,1989,DHS,678,680,,,
KEN,53281,Median duration of any breastfeeding,19.9,1,KE,Kenya,1989,KE1989DHS,CN_BFDR_C_MDA,104336010,I,1000,0,Total,Total,0,,1,1,CNBFDRCMDA,,1989,DHS,,,,,
KEN,130954,Age specific fertility rate: 15-19,110,0,KE,Kenya,1993,KE1993DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1993,DHS,,,,,
KEN,713747,Women giving birth by age 18,36,1,KE,Kenya,1993,KE1993DHS,FE_BBAG_W_A18,12063020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,FEBBAGWA18,,1993,DHS,4148,4147,,,
KEN,471445,Married women currently using any method of contraception,32.7,1,KE,Kenya,1993,KE1993DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1993,DHS,4629,4583,,,
KEN,516299,Unmet need for family planning,35.3,1,KE,Kenya,1993,KE1993DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1993,DHS,4629,4583,,,
KEN,62162,Current marital status [Women]: Married or living in union,61.4,1,KE,Kenya,1993,KE1993DHS,MA_MSTA_W_UNI,41503090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MAMSTAWUNI,,1993,DHS,7540,7540,,,
KEN,204538,Women first married by exact age 15,12.9,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1993,DHS,4148,4147,,,
KEN,204539,Women first married by exact age 18,41.7,1,KE,Kenya,1993,KE1993DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1993,DHS,4148,4147,,,
